id,filename,ethnicity,age_group
1,img001.png,Northern European,13-17
2,img002.png,Northern European,13-17
3,img003.png,Northern European,13-17
4,img004.png,Northern European,13-17
5,img005.png,Northern European,13-17
6,img006.png,Northern European,13-17
7,img007.png,Northern European,13-17
8,img008.png,Northern European,13-17
9,img009.png,Northern European,13-17
10,img010.png,Northern European,13-17
11,img011.png,Northern European,13-17
12,img012.png,Northern European,13-17
13,img013.png,Northern European,13-17
14,img014.png,Northern European,13-17
15,img015.png,Northern European,13-17
16,img016.png,Northern European,13-17
17,img017.png,Northern European,13-17
18,img018.png,Northern European,13-17
19,img019.png,Northern European,13-17
20,img020.png,Northern European,13-17
21,img021.png,Northern European,13-17
22,img022.png,Northern European,13-17
23,img023.png,Northern European,13-17
24,img024.png,Northern European,13-17
25,img025.png,Northern European,13-17
26,img026.png,Northern European,13-17
27,img027.png,Northern European,13-17
28,img028.png,Northern European,13-17
29,img029.png,Northern European,13-17
