id,filename,ethnicity,age_group,gender
1,img001.png,Chinese,21-25,Unknown
2,img002.png,Chinese,21-25,Unknown
3,img003.png,Chinese,21-25,Unknown
4,img004.png,Chinese,21-25,Unknown
5,img005.png,Chinese,21-25,Unknown
6,img006.png,Chinese,21-25,Unknown
7,img007.png,Chinese,21-25,Unknown
8,img008.png,Chinese,21-25,Unknown
9,img009.png,Chinese,21-25,Unknown
10,img010.png,Chinese,21-25,Unknown
11,img011.png,Chinese,21-25,Unknown
12,img012.png,Chinese,21-25,Unknown
13,img013.png,Chinese,21-25,Unknown
14,img014.png,Chinese,21-25,Unknown
15,img015.png,Chinese,21-25,Unknown
16,img016.png,Chinese,21-25,Unknown
17,img017.png,Chinese,21-25,Unknown
18,img018.png,Chinese,21-25,Unknown
19,img019.png,Chinese,21-25,Unknown
20,img020.png,Chinese,21-25,Unknown
21,img021.png,Chinese,21-25,Unknown
22,img022.png,Chinese,21-25,Unknown
23,img023.png,Chinese,21-25,Unknown
