id,filename,ethnicity,age_group,gender
1,img001.png,Indian,21-25,Unknown
2,img002.png,Indian,21-25,Unknown
3,img003.png,Indian,21-25,Unknown
4,img004.png,Indian,21-25,Unknown
5,img005.png,Indian,21-25,Unknown
6,img006.png,Indian,21-25,Unknown
7,img007.png,Indian,21-25,Unknown
8,img008.png,Indian,21-25,Unknown
9,img009.png,Indian,21-25,Unknown
10,img010.png,Indian,21-25,Unknown
11,img011.png,Indian,21-25,Unknown
12,img012.png,Indian,21-25,Unknown
13,img013.png,Indian,21-25,Unknown
14,img014.png,Indian,21-25,Unknown
15,img015.png,Indian,21-25,Unknown
16,img016.png,Indian,21-25,Unknown
17,img017.png,Indian,21-25,Unknown
18,img018.png,Indian,21-25,Unknown
19,img019.png,Indian,21-25,Unknown
20,img020.png,Indian,21-25,Unknown
21,img021.png,Indian,21-25,Unknown
22,img022.png,Indian,21-25,Unknown
23,img023.png,Indian,21-25,Unknown
24,img024.png,Indian,21-25,Unknown
