id,filename,ethnicity,age_group,gender
1,img001.png,Arabic,13-17,male
2,img002.png,Arabic,13-17,female
3,img003.png,Arabic,13-17,female
4,img004.png,Arabic,13-17,female
5,img005.png,Arabic,13-17,male
6,img006.png,Arabic,13-17,male
7,img007.png,Arabic,13-17,male
8,img008.png,Arabic,13-17,female
9,img009.png,Arabic,13-17,male
10,img010.png,Arabic,13-17,male
11,img011.png,Arabic,13-17,male
12,img012.png,Arabic,13-17,male
13,img013.png,Arabic,13-17,male
14,img014.png,Arabic,13-17,male
15,img015.png,Arabic,13-17,male
16,img016.png,Arabic,13-17,female
17,img017.png,Arabic,13-17,female
18,img018.png,Arabic,13-17,female
19,img019.png,Arabic,13-17,female
20,img020.png,Arabic,13-17,female
